Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
A Haunted House,2013-01-11,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Horror,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,"2,500,000.00","60,100,000.00",2.404,,,,,,,
A Haunted House 2,2014-04-18,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,,Michael Tiddes,,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,"4,000,000.00","24,000,000.00",0.6,,,,,,,
A Long Way Down,2014-02-10,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,,Pascal Chaumeil,,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,,"22,700,000.00","7,100,000.00",0.031277533,,,,,,,
A Most Violent Year,2014-11-06,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,Crime,J. C. Chandor,,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,"20,000,000.00","12,000,000.00",0.06,,,,,,,
A Most Wanted Man,2014-01-19,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,,Anton Corbijn,,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,"15,000,000.00","36,200,000.00",0.241333333,,,,,,,
A Thousand Words,2012-03-09,https://en.wikipedia.org/wiki/A_Thousand_Words_(film),Comedy,,Brian Robbins,,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,"40,000,000.00","22,000,000.00",0.055,,,,,,,
A Walk Among the Tombstones,2014-09-19,https://en.wikipedia.org/wiki/A_Walk_Among_the_Tombstones_(film),Crime,Drama,Scott Frank,,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,,"28,000,000.00","58,800,000.00",0.21,,,,,,,
A Walk in the Woods,2015-01-23,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(film),Adventure,Comedy,Ken Kwapis,,Robert Redford,Nick Nolte,Emma Thompson,,,"8,000,000.00","36,000,000.00",0.45,,,,,,,
Abraham Lincoln: Vampire Hunter,2012-06-22,https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter_(film),Horror,Action,Timur Bekmambetov,,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,"99,500,000.00","116,400,000.00",0.116984925,,,,,,,
After Earth,2013-05-31,https://en.wikipedia.org/wiki/After_Earth,Sci-Fi,,M. Night Shyamalan,,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,,"130,000,000.00","243,800,000.00",0.187538462,,,,,,,
