Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
Epic,2013-05-24,https://en.wikipedia.org/wiki/Epic_(2013_film),Adventure,Comedy,Chris Wedge,,Colin Farrell,Josh Hutcherson,Amanda Seyfried,Jason Sudeikis,Christoph Waltz,"93,000,000.00","268,400,000.00",0.288602151,,,,,,,
Escape from Planet Earth,2013-02-15,https://en.wikipedia.org/wiki/Escape_from_Planet_Earth,Comedy,Family,Cal Brunker,,Brendan Fraser,Rob Corddry,Jessica Alba,William Shatner,Sarah Jessica Parker,"40,000,000.00","74,600,000.00",0.1865,,,,,,,
Evil Dead,2013-04-05,https://en.wikipedia.org/wiki/Evil_Dead_(2013_film),Horror,,Fede Alvarez,,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore,"17,000,000.00","97,500,000.00",0.573529412,,,,,,,
Ex Machina,2015-01-21,https://en.wikipedia.org/wiki/Ex_Machina_(film),Sci-Fi,Thriller,Alex Garland,,Domhnall Gleeson,Oscar Isaac,Alicia Vikander,,,"15,000,000.00","36,900,000.00",0.246,,,,,,,
Eye in the Sky,2015-09-11,https://en.wikipedia.org/wiki/Eye_in_the_Sky_(2015_film),Thriller,,Gavin Hood,,Helen Mirren,Aaron Paul,Alan Rickman,Barkhad Abdi,,"13,000,000.00","32,800,000.00",0.252307692,,,,,,,
Fantastic Four,2015-08-04,https://en.wikipedia.org/wiki/Fantastic_Four_(2015_film),Action,Adventure,Josh Trank,,Miles Teller,Michael B. Jordan,Kate Mara,Jamie Bell,Toby Kebbell,"120,000,000.00","168,000,000.00",0.14,,,,,,,
Fast & Furious 6,2013-05-17,https://en.wikipedia.org/wiki/Fast_%2526_Furious_6,Action,,Justin Lin,,Vin Diesel,Dwayne Johnson,Paul Walker,Michelle Rodriguez,Jordana Brewster,"160,000,000.00","788,700,000.00",0.4929375,,,,,,,
Flight,2012-11-02,https://en.wikipedia.org/wiki/Flight_(2012_film),Drama,,Robert Zemeckis,,Denzel Washington,Brian Geraghty,Nadine Velazquez,Bruce Greenwood,John Goodman,"31,000,000.00","161,800,000.00",0.521935484,,,,,,,
Florence Foster Jenkins,2016-04-27,https://en.wikipedia.org/wiki/Florence_Foster_Jenkins_(film),Biography,Comedy,Stephen Frears,,Meryl Streep,Hugh Grant,Simon Helberg,Nina Arianda,Rebecca Ferguson,"19,000,000.00","31,700,000.00",0.166842105,,,,,,,
Frances Ha,2013-05-17,https://en.wikipedia.org/wiki/Frances_Ha,Drama,Comedy,Noah Baumbach,,Greta Gerwig,Charlotte d'Amboise,Adam Driver,Grace Gummer,Patrick Heusinger,"3,000,000.00","11,300,000.00",0.376666667,,,,,,,
Free State of Jones,2016-06-16,https://en.wikipedia.org/wiki/Free_State_of_Jones_(film),Drama,Thriller,Gary Ross,,Matthew McConaughey,Gugu Mbatha-Raw,Keri Russell,Mahershala Ali,,"50,000,000.00","21,200,000.00",0.0424,,,,,,,
Friends with Kids,2012-03-09,https://en.wikipedia.org/wiki/Friends_with_Kids,Comedy,Romance,Jennifer Westfeldt,,Adam Scott,Jennifer Westfeldt,Jon Hamm,Kristen Wiig,Maya Rudolph,"10,000,000.00","12,200,000.00",0.122,,,,,,,
Fun Size,2012-10-26,https://en.wikipedia.org/wiki/Fun_Size,Comedy,,Josh Schwartz,,Victoria Justice,Jane Levy,Thomas McDonell,Thomas Mann,Chelsea Handler,"14,000,000.00","11,400,000.00",0.081428571,,,,,,,
Fury,2014-10-15,https://en.wikipedia.org/wiki/Fury_(2014_film),Action,Drama,David Ayer,,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña,Jon Bernthal,"68,000,000.00","211,800,000.00",0.311470588,,,,,,,
G.I. Joe: Retaliation,2013-03-27,https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation,Action,Adventure,Jon Chu,,Channing Tatum,Ray Park,Dwayne Johnson,Bruce Willis,Elodie Yung,"130,000,000.00","375,700,000.00",0.289,,,,,,,
Gangster Squad,2013-01-11,https://en.wikipedia.org/wiki/Gangster_Squad,Action,Crime,Ruben Fleischer,,Ryan Gosling,Emma Stone,Sean Penn,Josh Brolin,Robert Patrick,"75,000,000.00","105,200,000.00",0.140266667,,,,,,,
Get Hard,2015-03-27,https://en.wikipedia.org/wiki/Get_Hard,Comedy,,Etan Cohen,,Will Ferrell,Kevin Hart,Alison Brie,Craig T. Nelson,T.I.,"40,000,000.00","111,800,000.00",0.2795,,,,,,,
Get on Up,2014-08-01,https://en.wikipedia.org/wiki/Get_on_Up_(film),Drama,Biography,Tate Taylor,,Chadwick Boseman,Nelsan Ellis,Brandon Mychal Smith,Jill Scott,Tika Sumpter,"30,000,000.00","33,400,000.00",0.111333333,,,,,,,
Getaway,2013-08-30,https://en.wikipedia.org/wiki/Getaway_(film),Action,,Courtney Solomon,Yaron Levy,Ethan Hawke,Selena Gomez,Jon Voight,James Maslow,,"18,000,000.00","11,800,000.00",0.065555556,,,,,,,
Ghost Rider: Spirit of Vengeance,2012-02-17,https://en.wikipedia.org/wiki/Ghost_Rider:_Spirit_of_Vengeance,Action,Fantasy,Mark Neveldine,Brian Taylor,Nicolas Cage,Idris Elba,Fergus Riordan,Ciarán Hinds,Violante Placido,"57,000,000.00","132,600,000.00",0.232631579,,,,,,,
Ghostbusters,2016-07-15,https://en.wikipedia.org/wiki/Ghostbusters_(2016_film),Comedy,Sci-Fi,Paul Feig,,Melissa McCarthy,Kristen Wiig,Leslie Jones,Kate McKinnon,Chris Hemsworth,"144,000,000.00","217,500,000.00",0.151041667,,,,,,,
God's Not Dead,2014-03-21,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_(film),Religious,,Harold Cronk,,Willie Robertson,David A. R. White,Shane Harper,Kevin Sorbo,Korie Robertson,"2,000,000.00","62,600,000.00",3.13,,,,,,,
God's Not Dead 2,2016-04-01,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_2,Religious,,Harold Cronk,,Melissa Joan Hart,David A. R. White,Ray Wise,Robin Givens,Ernie Hudson,"5,000,000.00","23,500,000.00",0.47,,,,,,,
Gods of Egypt,2016-02-25,https://en.wikipedia.org/wiki/Gods_of_Egypt_(film),Action,Fantasy,Alex Proyas,,Geoffrey Rush,Gerard Butler,Brenton Thwaites,Courtney Eaton,Nikolaj Coster-Waldau,"140,000,000.00","145,700,000.00",0.104071429,,,,,,,
Godzilla,2014-05-08,https://en.wikipedia.org/wiki/Godzilla_(2014_film),Action,Adventure,Gareth Edwards,,Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston,Juliette Binoche,"160,000,000.00","529,000,000.00",0.330625,,,,,,,
Gone Girl,2014-09-26,https://en.wikipedia.org/wiki/Gone_Girl_(film),Mystery,Thriller,David Fincher,,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Kim Dickens,"61,000,000.00","369,300,000.00",0.605409836,,,,,,,
Good Deeds,2012-02-24,https://en.wikipedia.org/wiki/Good_Deeds,Romance,Drama,Tyler Perry,,Tyler Perry,Thandie Newton,Rebecca Romijn,Brian J. White,Jamie Kennedy,"14,000,000.00","35,600,000.00",0.254285714,,,,,,,
Goosebumps,2015-10-05,https://en.wikipedia.org/wiki/Goosebumps_(film),Action,Fantasy,Rob Letterman,,Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Ryan Lee,"84,000,000.00","150,200,000.00",0.178809524,,,,,,,
Grown Ups 2,2013-07-12,https://en.wikipedia.org/wiki/Grown_Ups_2,Comedy,,Dennis Dugan,,Adam Sandler,Kevin James,Chris Rock,David Spade,Taylor Lautner,"80,000,000.00","247,000,000.00",0.30875,,,,,,,
"Hail, Caesar!",2016-02-05,"https://en.wikipedia.org/wiki/Hail,_Caesar!",Comedy,,Joel and Ethan Coen,,Josh Brolin,George Clooney,Alden Ehrenreich,Ralph Fiennes,Jonah Hill,"22,000,000.00","22,000,000.00",0.1,,,,,,,
Hands of Stone,2016-08-26,https://en.wikipedia.org/wiki/Hands_of_Stone,Biography,Drama,Jonathan Jakubowicz,,Édgar Ramírez,Robert De Niro,Usher,Ellen Barkin,Ana de Armas,"20,000,000.00","1,700,000.00",0.0085,,,,,,,
Hansel and Gretel: Witch Hunters,2013-01-17,https://en.wikipedia.org/wiki/Hansel_and_Gretel:_Witch_Hunters,Action,Fantasy,Tommy Wirkola,,Jeremy Renner,Gemma Arterton,Zoe Bell,Famke Janssen,Peter Stormare,"50,000,000.00","226,300,000.00",0.4526,,,,,,,
Heaven Is for Real,2014-04-16,https://en.wikipedia.org/wiki/Heaven_Is_for_Real_(film),Religious,,Randall Wallace,,Greg Kinnear,Kelly Reilly,Connor Corum,Thomas Haden Church,Jacob Vargas,"12,000,000.00","101,300,000.00",0.844166667,,,,,,,
Here Comes the Boom,2012-10-12,https://en.wikipedia.org/wiki/Here_Comes_the_Boom,Comedy,,Frank Coraci,,Kevin James,Salma Hayek,Henry Winkler,Joe Rogan,,"42,000,000.00","73,100,000.00",0.174047619,,,,,,,
Hit and Run,2012-08-22,https://en.wikipedia.org/wiki/Hit_and_Run_(2012_film),Action,Comedy,Dax Shepard,,Dax Shepard,Kristen Bell,Bradley Cooper,Tom Arnold,Kristin Chenoweth,"2,000,000.00","14,500,000.00",0.725,,,,,,,
Hitman: Agent 47,2015-08-21,https://en.wikipedia.org/wiki/Hitman:_Agent_47,Action,Thriller,Aleksander Bach,,Rupert Friend,Zachary Quinto,Hannah Ware,Thomas Kretschmann,,"35,000,000.00","82,300,000.00",0.235142857,,,,,,,
Home,2015-03-07,https://en.wikipedia.org/wiki/Home_(2015_animated_film),Animation,Comedy,Tim Johnson,,Jim Parsons,Rihanna,Jennifer Lopez,Steve Martin,Matt Jones,"135,000,000.00","386,000,000.00",0.285925926,,,,,,,
Hope Springs,2012-08-08,https://en.wikipedia.org/wiki/Hope_Springs_(2012_film),Romance,Drama,David Frankel,,Meryl Streep,Tommy Lee Jones,Steve Carell,Mimi Rogers,Elisabeth Shue,"30,000,000.00","114,300,000.00",0.381,,,,,,,
Horrible Bosses 2,2014-11-26,https://en.wikipedia.org/wiki/Horrible_Bosses_2,Comedy,,Sean Anders,,Jason Bateman,Charlie Day,Jason Sudeikis,Kevin Spacey,Jennifer Aniston,"57,000,000.00","107,700,000.00",0.188947368,,,,,,,
Hot Pursuit,2015-05-08,https://en.wikipedia.org/wiki/Hot_Pursuit_(2015_film),Action,Comedy,Anne Fletcher,,Reese Witherspoon,Sofía Vergara,Jim Gaffigan,John Carroll Lynch,,"35,000,000.00","51,700,000.00",0.147714286,,,,,,,
Hotel Transylvania,2012-09-28,https://en.wikipedia.org/wiki/Hotel_Transylvania,Fantasy,,Genndy Tartakovsky,,Adam Sandler,Selena Gomez,Andy Samberg,Kevin James,Fran Drescher,"85,000,000.00","358,400,000.00",0.421647059,,,,,,,
Hotel Transylvania 2,2015-09-25,https://en.wikipedia.org/wiki/Hotel_Transylvania_2,Fantasy,Comedy,Genndy Tartakovsky,,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi,"80,000,000.00","473,000,000.00",0.59125,,,,,,,
How to Train Your Dragon 2,2014-05-16,https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_2,Family,,Dean DeBlois,,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,"145,000,000.00","621,500,000.00",0.42862069,,,,,,,
I,2015-01-14,https://en.wikipedia.org/wiki/I_(film),Romance,Thriller,S. Shankar,,Vikram,Amy Jackson,N. Santhanam,Suresh Gopi,Upen Patel,"15,000,000.00","65,000,000.00",0.433333333,,,,,,,
I Saw the Light,2015-09-11,https://en.wikipedia.org/wiki/I_Saw_the_Light_(film),Drama,Musical,Marc Abraham ,Tom Hiddleston,Elizabeth Olsen,,,,,"13,000,000.00","2,600,000.00",0.02,,,,,,,
Ice Age: Collision Course,2016-07-22,https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course,Adventure,,Mike Thurmeier,Galen T. Chu,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Jennifer Lopez,"105,000,000.00","368,300,000.00",0.350761905,,,,,,,
Ice Age: Continental Drift,2012-07-13,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,Adventure,,Steve Martino,Mike Thurmeier,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Seann William Scott,"95,000,000.00","877,000,000.00",0.923157895,,,,,,,
Identity Thief,2013-02-08,https://en.wikipedia.org/wiki/Identity_Thief,Action,Comedy,Seth Gordon,,Jason Bateman,Melissa McCarthy,Amanda Peet,John Cho,Clark Duke,"35,000,000.00","174,000,000.00",0.497142857,,,,,,,
If I Stay,2014-08-18,https://en.wikipedia.org/wiki/If_I_Stay_(film),Drama,,R. J. Cutler,,Chloë Grace Moretz,Mireille Enos,Lauren Lee Smith,Liana Liberato,Jamie Blackley,"11,000,000.00","78,900,000.00",0.717272727,,,,,,,
In the Heart of the Sea,2015-12-11,https://en.wikipedia.org/wiki/In_the_Heart_of_the_Sea_(film),Biography,,Ron Howard,,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Tom Holland,Ben Whishaw,"100,000,000.00","93,900,000.00",0.0939,,,,,,,
Independence Day: Resurgence,2016-06-20,https://en.wikipedia.org/wiki/Independence_Day:_Resurgence,Action,Adventure,Roland Emmerich,,Jeff Goldblum,Bill Pullman,Sela Ward,Liam Hemsworth,Vivica A. Fox,"165,000,000.00","382,300,000.00",0.23169697,,,,,,,
Insidious: Chapter 2,2013-09-13,https://en.wikipedia.org/wiki/Insidious:_Chapter_2,Horror,,James Wan,,Patrick Wilson,Rose Byrne,Lin Shaye,Ty Simpkins,,"5,000,000.00","161,900,000.00",3.238,,,,,,,
Insidious: Chapter 3,2015-06-05,https://en.wikipedia.org/wiki/Insidious:_Chapter_3,Horror,,Leigh Whannell,,Dermot Mulroney,Stefanie Scott,Angus Sampson,Leigh Whannell,Lin Shaye,"11,000,000.00","113,000,000.00",1.027272727,,,,,,,
Interstellar,2014-10-26,https://en.wikipedia.org/wiki/Interstellar_(film),Sci-Fi,,Christopher Nolan,,Matthew McConaughey,Anne Hathaway,Michael Caine,Jessica Chastain,Matt Damon,"165,000,000.00","675,100,000.00",0.409151515,,,,,,,
Into the Storm,2014-08-08,https://en.wikipedia.org/wiki/Into_the_Storm_(2014_film),Adventure,Thriller,Steven Quale,,Richard Armitage,Jeremy Sumpter,Sarah Wayne Callies,Nathan Kress,,"50,000,000.00","161,700,000.00",0.3234,,,,,,,
Iron Sky,2012-07-25,https://en.wikipedia.org/wiki/Iron_Sky,Comedy,Sci-Fi,Timo Vuorensola,,Julia Dietze,Peta Sergeant,Gotz Otto,Chris Kirby,Udo Kier,"7,500,000.00","8,100,000.00",0.108,,,,,,,
Irrational Man,2015-05-16,https://en.wikipedia.org/wiki/Irrational_Man_(film),Mystery,Drama,Woody Allen,,Joaquin Phoenix,Emma Stone,Parker Posey,Jamie Blackley,,"11,000,000.00","27,400,000.00",0.249090909,,,,,,,
Jack Reacher,2012-12-21,https://en.wikipedia.org/wiki/Jack_Reacher_(film),Action,Drama,Christopher McQuarrie,,Tom Cruise,Rosamund Pike,David Oyelowo,Richard Jenkins,Alexia Fast,"60,000,000.00","218,300,000.00",0.363833333,,,,,,,
Jack Ryan: Shadow Recruit,2014-01-15,https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit,Action,Adventure,Kenneth Branagh,,David Koepp,Adam Cozad,Anthony Peckham,Steve Zaillian,Chris Pine,"60,000,000.00","135,500,000.00",0.225833333,,,,,,,
Jane Got a Gun,2016-01-29,https://en.wikipedia.org/wiki/Jane_Got_a_Gun,Action,Drama,Gavin O'Connor,,Natalie Portman,Joel Edgerton,Ewan McGregor,Rodrigo Santoro,Noah Emmerich,"25,000,000.00","3,000,000.00",0.012,,,,,,,
Jason Bourne,2016-07-29,https://en.wikipedia.org/wiki/Jason_Bourne_(film),Action,Thriller,Paul Greengrass,,Matt Damon,Julia Stiles,Alicia Vikander,Riz Ahmed,Vincent Cassel,"120,000,000.00","347,900,000.00",0.289916667,,,,,,,
"Jeff, Who Lives at Home",2012-03-16,"https://en.wikipedia.org/wiki/Jeff,_Who_Lives_at_Home",Comedy,Drama,Jay Duplass,,Jason Segel,Ed Helms,Judy Greer,Susan Sarandon,Evan Ross,"7,500,000.00","7,500,000.00",0.1,,,,,,,
Jem and the Holograms,2015-10-23,https://en.wikipedia.org/wiki/Jem_and_the_Holograms_(film),Musical,Comedy,Jon M. Chu,,Aubrey Peeples,Stefanie Scott,Hayley Kiyoko,Aurora Perrineau,Ryan Guzman,"5,000,000.00","2,300,000.00",0.046,,,,,,,
Jersey Boys,2014-06-05,https://en.wikipedia.org/wiki/Jersey_Boys_(film),Drama,Musical,Clint Eastwood,,John Lloyd Young,Erec Bergen,Vincent Piazza,Michael Lamenda,Christopher Walken,"58,600,000.00","67,700,000.00",0.11552901,,,,,,,
Jobs,2013-08-16,https://en.wikipedia.org/wiki/Jobs_(film),Biography,,Joshua Michael Stern,,Ashton Kutcher,Dermot Mulroney,Josh Gad,Lukas Haas,J.K. Simmons,"12,000,000.00","35,900,000.00",0.299166667,,,,,,,
John Wick,2014-10-13,https://en.wikipedia.org/wiki/John_Wick_(film),Action,Thriller,Chad Stahelski,David Leitch (director,Keanu Reeves,Bridget Moynahan,Willem Dafoe,,,"20,000,000.00","86,000,000.00",0.43,,,,,,,
Journey 2: The Mysterious Island,2012-02-10,https://en.wikipedia.org/wiki/Journey_2:_The_Mysterious_Island,Adventure,,Brad Peyton,,Dwayne Johnson,Michael Caine,Josh Hutcherson,Vanessa Hudgens,Luis Guzmán,"79,000,000.00","335,300,000.00",0.42443038,,,,,,,
Joy,2015-12-25,https://en.wikipedia.org/wiki/Joy_(film),Comedy,Drama,David O. Russell,,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Édgar Ramírez,,"60,000,000.00","101,100,000.00",0.1685,,,,,,,
Keanu,2016-04-29,https://en.wikipedia.org/wiki/Keanu_(film),Comedy,,Peter Atencio,,Keegan-Michael Key,Jordan Peele,Method Man,Gabrielle Union,Will Forte,"15,000,000.00","20,700,000.00",0.138,,,,,,,
Kill the Messenger,2014-10-10,https://en.wikipedia.org/wiki/Kill_the_Messenger_(2014_film),Crime,Drama,Michael Cuesta,,Jeremy Renner,Barry Pepper,Mary Elizabeth Winstead,Rosemarie DeWitt,Ray Liotta,"5,000,000.00","2,500,000.00",0.05,,,,,,,
Killing Them Softly,2012-11-30,https://en.wikipedia.org/wiki/Killing_Them_Softly,Crime,Drama,Andrew Dominik,,Brad Pitt,Vincent Curatola,Scoot McNairy,Ben Mendelsohn,Ray Liotta,"15,000,000.00","37,900,000.00",0.252666667,,,,,,,
Kingsman: The Secret Service,2014-12-13,https://en.wikipedia.org/wiki/Kingsman:_The_Secret_Service,Action,,Matthew Vaughn,,Colin Firth,Taron Egerton,Samuel L. Jackson,Mark Strong,Michael Caine,"94,000,000.00","414,400,000.00",0.440851064,,,,,,,
Krampus,2015-12-04,https://en.wikipedia.org/wiki/Krampus_(film),Horror,,Michael Dougherty,,Emjay Anthony,Allison Tolman,Adam Scott,,,"15,000,000.00","61,500,000.00",0.41,,,,,,,
Kubo and the Two Strings,2016-08-19,https://en.wikipedia.org/wiki/Kubo_and_the_Two_Strings,Fantasy,,Travis Knight,,Art Parkinson,Matthew McConaughey,Rooney Mara,Charlize Theron,Ralph Fiennes,"60,000,000.00","27,600,000.00",0.046,,,,,,,
Kung Fu Panda 3,2016-01-23,https://en.wikipedia.org/wiki/Kung_Fu_Panda_3,Action,Comedy,Jennifer Yuh Nelson,Alessandro Carloni,Jack Black,Angelina Jolie,Dustin Hoffman,Jackie Chan,Seth Rogen,"145,000,000.00","519,900,000.00",0.358551724,,,,,,,
Lazer Team,2016-01-27,https://en.wikipedia.org/wiki/Lazer_Team,Sci-Fi,Comedy,Matt Hullum,,Burnie Burns,Gavin Free,Michael Jones,Colton Dunn,Allie DeBerry,"2,400,000.00","1,600,000.00",0.066666667,,,,,,,
Left Behind,2014-10-03,https://en.wikipedia.org/wiki/Left_Behind_(2014_film),Religious,Thriller,Vic Armstrong,,Nicolas Cage,Chad Michael Murray,Cassi Thomson,Nicky Whelan,Jordin Sparks,"16,000,000.00","27,600,000.00",0.1725,,,,,,,
Les Misérables,2012-12-25,https://en.wikipedia.org/wiki/Les_Mis%25C3%25A9rables_(2012_film),Musical,,Tom Hooper,,Hugh Jackman,Russell Crowe,Eddie Redmayne,Colm Wilkinson,Anne Hathaway,"61,000,000.00","441,800,000.00",0.724262295,,,,,,,
Let's Be Cops,2014-08-13,https://en.wikipedia.org/wiki/Let%2527s_Be_Cops,Action,Comedy,Luke Greenfield,,Jake Johnson,Damon Wayans,Jr.,,,"17,000,000.00","138,200,000.00",0.812941176,,,,,,,
Life of Pi,2012-11-21,https://en.wikipedia.org/wiki/Life_of_Pi_(film),Drama,Adventure,Ang Lee,,Suraj Sharma,Ayush Tandon,Irrfan Khan,Gérard Depardieu,,"120,000,000.00","609,000,000.00",0.5075,,,,,,,
Lights Out,2016-07-22,https://en.wikipedia.org/wiki/Lights_Out_(2016_film),Horror,Thriller,David F. Sandberg,,Teresa Palmer,Gabriel Bateman,Alexander DiPersia,,,"4,900,000.00","125,900,000.00",2.569387755,,,,,,,
Lincoln,2012-11-09,https://en.wikipedia.org/wiki/Lincoln_(2012_film),Drama,,Steven Spielberg,,Daniel Day-Lewis,David Strathairn,Hal Holbrook,Sally Field,Joseph Gordon-Levitt,"65,000,000.00","275,300,000.00",0.423538462,,,,,,,
Little Boy,2015-04-24,https://en.wikipedia.org/wiki/Little_Boy_(film),Drama,,Alejandro Gómez Monteverde,,Jakob Salvati,David Henrie,Kevin James,Emily Watson,Ted Levine,"20,000,000.00","17,500,000.00",0.0875,,,,,,,
Lockout,2012-04-13,https://en.wikipedia.org/wiki/Lockout_(film),Action,Sci-Fi,James Mather,Stephen St.Leger,Guy Pearce,Maggie Grace,Peter Stormare,Lennie James,Vincent Regan,"20,000,000.00","32,200,000.00",0.161,,,,,,,
London Has Fallen,2016-03-04,https://en.wikipedia.org/wiki/London_Has_Fallen,Action,,Babak Najafi,,Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett,Alon Aboutboul,"60,000,000.00","195,700,000.00",0.326166667,,,,,,,
Looper,2012-09-28,https://en.wikipedia.org/wiki/Looper_(film),Action,Sci-Fi,Rian Johnson,,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,Noah Segan,"30,000,000.00","176,500,000.00",0.588333333,,,,,,,
Love the Coopers,2015-11-04,https://en.wikipedia.org/wiki/Love_the_Coopers,Romance,Comedy,Jessie Nelson,,John Goodman,Diane Keaton,Amanda Seyfried,Alan Arkin,Olivia Wilde,"24,000,000.00","41,100,000.00",0.17125,,,,,,,
Lucy,2014-07-25,https://en.wikipedia.org/wiki/Lucy_(2014_film),Sci-Fi,,Luc Besson,,Scarlett Johansson,Morgan Freeman,Choi Min-sik,,,"40,000,000.00","463,400,000.00",1.1585,,,,,,,
Mad Max: Fury Road,2015-05-07,https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road,Action,,George Miller,,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Rosie Huntington-Whiteley,"150,000,000.00","378,400,000.00",0.252266667,,,,,,,
Madagascar 3: Europe's Most Wanted,2012-06-08,https://en.wikipedia.org/wiki/Madagascar_3:_Europe%2527s_Most_Wanted,Comedy,,Eric Darnell,,Noah Baumbach(screenplay); Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,"145,000,000.00","746,900,000.00",0.515103448,,,,,,,
Magic in the Moonlight,2014-07-25,https://en.wikipedia.org/wiki/Magic_in_the_Moonlight,Comedy,,Woody Allen,,Emma Stone,Colin Firth,Hamish Linklater,Marcia Gay Harden,Jacki Weaver,"16,800,000.00","51,000,000.00",0.303571429,,,,,,,
Mama,2013-01-18,https://en.wikipedia.org/wiki/Mama_(2013_film),Horror,Thriller,Andres Muschietti,,Jessica Chastain,Nikolaj Coster-Waldau,Daniel Kash,David Fox,,"15,000,000.00","146,400,000.00",0.976,,,,,,,
Man of Steel,2013-06-14,https://en.wikipedia.org/wiki/Man_of_Steel_(film),Action,Adventure,Zack Snyder,,Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane,"225,000,000.00","668,000,000.00",0.296888889,,,,,,,
Man on a Ledge,2012-01-27,https://en.wikipedia.org/wiki/Man_on_a_Ledge,Action,Drama,Asger Leth,,Sam Worthington,Ed Harris,Elizabeth Banks,Jamie Bell,Kyra Sedgwick,"42,000,000.00","46,200,000.00",0.11,,,,,,,
Max,2015-06-26,https://en.wikipedia.org/wiki/Max_(2015_film),Adventure,,Boaz Yakin,,Josh Wiggins,Thomas Haden Church,Lauren Graham,,,"20,000,000.00","44,000,000.00",0.22,,,,,,,
Maze Runner: The Scorch Trials,2015-09-18,https://en.wikipedia.org/wiki/Maze_Runner:_The_Scorch_Trials,Sci-Fi,Action,Wes Ball,,Dylan O'Brien,Ki Hong Lee,Thomas Sangster,Kaya Scodelario,Patricia Clarkson,"61,000,000.00","312,300,000.00",0.511967213,,,,,,,
Me and Earl and the Dying Girl,2015-01-25,https://en.wikipedia.org/wiki/Me_and_Earl_and_the_Dying_Girl_(film),Comedy,Drama,Alfonso Gomez-Rejon,,Thomas Mann,Olivia Cooke,Ronald Cyler II,Jon Bernthal,Nick Offerman,"8,000,000.00","9,100,000.00",0.11375,,,,,,,
Me Before You,2016-06-03,https://en.wikipedia.org/wiki/Me_Before_You_(film),Drama,Romance,Thea Sharrock,,Emilia Clarke,Sam Claflin,Charles Dance,Jenna Coleman,Janet McTeer,"20,000,000.00","196,200,000.00",0.981,,,,,,,
Mechanic: Resurrection,2016-08-26,https://en.wikipedia.org/wiki/Mechanic:_Resurrection,Action,,Dennis Gansel,,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,,"40,000,000.00","7,500,000.00",0.01875,,,,,,,
Men in Black 3,2012-05-25,https://en.wikipedia.org/wiki/Men_in_Black_3,Comedy,Fantasy,Barry Sonnenfeld,,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,Emma Thompson,"215,000,000.00","624,000,000.00",0.290232558,,,,,,,
Midnight Special,2016-02-12,https://en.wikipedia.org/wiki/Midnight_Special_(film),Sci-Fi,,Jeff Nichols,,Michael Shannon,Kirsten Dunst,Adam Driver,Joel Edgerton,Sam Shepard,"18,000,000.00","6,200,000.00",0.034444444,,,,,,,
Miracles from Heaven,2016-03-16,https://en.wikipedia.org/wiki/Miracles_from_Heaven_(film),Drama,,Patricia Riggen,,Jennifer Garner,Martin Henderson,Queen Latifah,,,"13,000,000.00","73,600,000.00",0.566153846,,,,,,,
Mirror Mirror,2012-03-30,https://en.wikipedia.org/wiki/Mirror_Mirror_(film),Fantasy,Adventure,Tarsem Singh,,Lily Collins,Julia Roberts,Armie Hammer,Nathan Lane,Robert Emms,"85,000,000.00","183,000,000.00",0.215294118,,,,,,,
Mission: Impossible – Rogue Nation,2015-07-23,https://en.wikipedia.org/wiki/Mission:_Impossible_%25E2%2580%2593_Rogue_Nation,Action,,Christopher McQuarrie,,Tom Cruise,Jeremy Renner,Simon Pegg,Ving Rhames,Rebecca Ferguson,"150,000,000.00","682,300,000.00",0.454866667,,,,,,,
